,-1
0_iseg.s,3619.334563320975
0_idel.s,3619.201905653637
0_irec.s,3619.1948873983847
1_irec.s,3596.3451754750954
1_idel.s,3596.3184448570023
1_iseg.s,3596.2013203023403
4_iseg.s,3557.6153841490272
4_idel.s,3557.2397999975474
4_irec.s,3557.1907008180074
2_idel.s,3554.075128843078
2_irec.s,3554.0653550715515
2_iseg.s,3554.052696510716
3_iseg.s,3529.736394811072
3_irec.s,3528.4101552623943
3_idel.s,3528.3858584952463
5_irec.s,3499.127547178975
5_idel.s,3499.1152526113133
5_iseg.s,3499.052229697499
0_inode.nr,3310.0764655629237
0_pgpgin.s,3262.3907145002418
35_TxPacktes,3214.2303484374843
5_pswpout.s,3186.5558746356396
5_dev252.1_tps,3185.665198169255
0_eth1_txpck.s,3179.8011452130763
0_oseg.s,3179.1231580278554
1_TxPacktes,3177.271329029668
0_orq.s,3173.08077152078
5_RxPacktes,3169.3601567668616
6_TxPacktes,3168.924748726445
31_TxPacktes,3168.892280253853
32_RxPacktes,3168.844894149235
43_TxPacktes,3168.214554312062
42_RxPacktes,3167.3220866587403
1_eth1_txpck.s,3167.0271333433666
24_TxPacktes,3166.0782623944997
25_RxPacktes,3165.6468051005586
37_RxPacktes,3165.2038415550837
22_RxPacktes,3164.8048435523215
38_TxPacktes,3164.6057124819163
23_TxPacktes,3163.8855742022583
1_oseg.s,3158.3764661712617
1_orq.s,3154.267403557891
2_eth1_txpck.s,3129.1294268164766
2_oseg.s,3125.2283768452216
4_oseg.s,3120.5990866126294
2_orq.s,3119.499684192819
4_eth1_txpck.s,3119.150314983475
4_orq.s,3117.6194791898597
3_eth1_txpck.s,3116.380755459846
3_oseg.s,3113.1041388196704
3_orq.s,3111.0195884182076
3_dev8.0_avgrq.sz,3105.3092698742184
3_dev8.5_avgrq.sz,3093.942335725955
5_oseg.s,3065.3092509780954
5_orq.s,3063.1313072759426
5_eth1_txpck.s,3061.437300134349
3_dev252.0_avgrq.sz,3045.2373781259002
2_pgpgin.s,2918.431573518462
5_pgscand.s,2871.1593997611167
0_pswpout.s,2628.9037222012403
1_pgpgin.s,2600.3262001037538
4_pswpout.s,2570.4380286341816
0_dev252.1_tps,2530.956633348131
4_dev252.1_tps,2471.308868119755
4_pgpgin.s,2461.474311561614
2_pgscand.s,2430.602921328337
2_dev8.5_avgrq.sz,2374.312269987901
2_dev8.0_avgrq.sz,2363.3224716531254
2_dev252.0_avgrq.sz,2321.0146305327016
5_dev252.1_avgqu.sz,2191.801342463793
0_dev252.1_avgqu.sz,2055.309991452627
4_pgscand.s,2044.838467269067
0_dev8.5_avgrq.sz,2029.265225326356
0_dev8.0_avgrq.sz,2028.6032445035737
4_dev8.5_avgrq.sz,2010.2879151499578
1_dev8.5_avgrq.sz,2007.8073838288954
4_dev8.0_avgrq.sz,2003.789930646677
1_dev8.0_avgrq.sz,1997.3121503684788
1_dev252.1_avgqu.sz,1956.6833541696972
0_dev252.0_avgrq.sz,1951.8206606855522
1_dev252.0_avgrq.sz,1943.582135401867
4_dev252.0_avgrq.sz,1941.227960567091
5_dev8.5_avgrq.sz,1907.5959631790897
5_dev8.0_avgrq.sz,1900.7094669500757
5_dev252.0_avgrq.sz,1858.57885847405
0_eth1_txkB.s,1761.0415372312357
1_eth1_txkB.s,1751.4600980258494
2_eth1_txkB.s,1748.8844184048742
3_eth1_txkB.s,1741.2951825443665
5_eth1_txkB.s,1740.6979042201713
4_eth1_txkB.s,1736.5419254827345
1_eth1_rxkB.s,1575.589246714434
0_eth1_rxkB.s,1569.760914906797
3_eth1_rxkB.s,1528.9282035957797
4_eth1_rxkB.s,1526.6824040432082
2_eth1_rxkB.s,1521.2603470437155
5_eth1_rxkB.s,1457.8618749420684
0_dev252.1_rd_sec.s,1373.3179800568903
1_pswpout.s,1367.4363793734108
1_dev252.1_tps,1322.492911816489
5_file.nr,1154.029040089406
4_file.nr,1145.3071250172627
10_TxBytes,1053.2971444463492
3_bread.s,1046.1658365401215
3_dev8.5_rd_sec.s,1034.9227302911174
3_dev8.0_rd_sec.s,1034.9227302911174
2_TxBytes,1033.8201938798638
3_TxBytes,1033.8201938798638
3_dev252.0_rd_sec.s,1024.6067963559324
18_TxBytes,1012.5387801454222
27_TxBytes,1007.3009121551739
19_TxBytes,994.9084705722747
16_TxBytes,994.9084705722747
1_X.dev.mapper.cloud..3.root_Iused,962.5844685223382
3_file.nr,929.7566867068492
11_TxBytes,904.3450568560655
13_RxBytes,900.7906420918627
28_RxBytes,894.507886615349
2_file.nr,880.0415666621079
8_TxBytes,879.87107373568
0_i128_intr.s,860.569851063716
1_file.nr,850.6790297241264
1_i131_intr.s,827.3916044390604
3_i132_intr.s,817.2346529058063
4_i119_intr.s,813.2144601441671
5_tcp6sck,806.6835778778483
1_i127_intr.s,802.8628363724382
1_i133_intr.s,796.2082679157386
5_totsck,786.8376857340577
2_i142_intr.s,785.5660136511472
1_pgscand.s,783.4695322059015
3_i129_intr.s,783.2024824301894
0_i131_intr.s,776.6260989930827
0_i127_intr.s,776.1928130524
4_i120_intr.s,772.7226654219968
0_i129_intr.s,772.1421528831773
2_i138_intr.s,764.4742138541824
0_i130_intr.s,762.5610119866147
5_i137_intr.s,756.4034602916588
1_inode.nr,755.11244587399
3_i130_intr.s,752.5019743291689
2_i136_intr.s,750.9306958315887
3_i127_intr.s,750.6038104955189
5_i138_intr.s,745.9136965465715
4_dev252.1_avgqu.sz,744.4199385943584
1_i130_intr.s,743.7682802910222
4_i124_intr.s,735.0273935196325
5_i140_intr.s,722.1011894417572
4_i121_intr.s,720.1727226668971
0_i133_intr.s,719.7405597068217
4_i122_intr.s,718.0992753790906
2_i137_intr.s,717.206940557673
5_i142_intr.s,716.1468955503332
5_i141_intr.s,713.1095912242272
2_i139_intr.s,712.8928976798082
4_i118_intr.s,710.012676541106
1_i132_intr.s,708.3102330572815
2_i141_intr.s,706.7212311942566
2_i140_intr.s,704.1901151921027
4_i123_intr.s,704.0952521945414
1_i128_intr.s,702.9144326598864
5_i136_intr.s,702.5141424418038
1_i129_intr.s,697.8388816988037
5_i139_intr.s,697.1674760373397
3_i133_intr.s,688.1363927973264
0_file.nr,681.0221327253215
3_i131_intr.s,677.5934248695133
3_i128_intr.s,675.9781873343838
0_i132_intr.s,644.5273087732946
1_dentunusd,642.1073108231069
5_inode.nr,641.0903124787427
